-5664,-4032,-208,6956
-112,-4176,-224,4184
112,-4176,-208,4183
-128,-4176,-224,4184
80,-4176,-208,4182
96,-4208,-208,4214
-128,-4208,-208,4215
96,-4160,-224,4167
80,-4176,-224,4183
96,-4144,-240,4152
112,-4208,-240,4216
112,-4176,-208,4183
112,-4176,-224,4184
64,-4160,-208,4166
-128,-4192,-224,4200
-128,-4192,-256,4202
-112,-4176,-208,4183
-112,-4176,-256,4185
-112,-4176,-256,4185
-128,-4192,-208,4199
-112,-4192,-208,4199
-80,-4224,-224,4231
-96,-4192,-224,4199
-80,-4224,-208,4230
-96,-4208,-176,4213
288,-4192,-208,4207
320,-4208,-144,4223
-32,-4224,-224,4230
-112,-4144,-176,4149
-80,-3808,-192,3814
-64,-4112,-224,4119
-112,-4144,-144,4148
-96,-4128,-144,4132
-128,-4176,-144,4180
-128,-4144,-192,4150
96,-4144,-208,4150
96,-4112,-240,4120
-112,-4128,-224,4136
-128,-4160,-192,4166
112,-4176,-224,4184
-80,-4144,-160,4148
-80,-4128,-192,4133
-80,-4144,-208,4150
256,-4192,-160,4203
256,-4224,-144,4234
-32,-4176,-384,4194
272,-4160,-176,4173
256,-4144,-160,4155
-16,-4160,-176,4164
272,-4176,-144,4187
256,-4160,-160,4171
-32,-4176,-176,4180
-48,-4208,-144,4211
-80,-4160,-160,4164
256,-4160,-384,4186
-32,-4144,-176,4148
-16,-4192,-176,4196
-32,-4144,-176,4148
-48,-4128,-176,4132
-80,-4160,-208,4166
-96,-4144,-208,4150
-64,-3840,-176,3845
-80,-4112,-192,4117
-64,-4176,-192,4181
-64,-4176,-160,4180
-64,-4160,-176,4164
-112,-4144,-144,4148
64,-4160,-192,4165
64,-4176,-240,4183
288,-4144,-144,4156
272,-4144,-160,4156
272,-4144,-160,4156
336,-4176,-192,4194
272,-4224,-160,4236
-128,-4192,-160,4197
112,-4208,-176,4213
-128,-4000,-160,4005
-128,-4208,-240,4217
-96,-4208,-224,4215
-112,-4176,-208,4183
112,-4128,-224,4136
-112,-4128,-240,4136
-112,-4176,-208,4183
-128,-4208,-208,4215
-96,-4192,-208,4198
80,-4192,-224,4199
-128,-4192,-256,4202
112,-4176,-208,4183
96,-4160,-224,4167
112,-4176,-224,4184
112,-4192,-192,4198
-128,-4160,-224,4168
-112,-4144,-208,4151
96,-4144,-176,4149
-128,-4176,-160,4181
112,-4176,-224,4184
96,-4176,-224,4183
-128,-4176,-192,4182
-112,-4128,-208,4135
-112,-4160,-240,4168
-96,-4160,-224,4167
-96,-4128,-208,4134
-96,-4176,-224,4183
-112,-4160,-256,4169
-96,-4192,-208,4198
-80,-4224,-208,4230
-64,-3984,-176,3988
-112,-4192,-176,4197
-96,-4000,-192,4006
-128,-4000,-240,4009
-128,-4208,-240,4217
-32,-4176,-528,4209
272,-4176,-240,4192
320,-4176,-192,4193
304,-4192,-192,4207
-96,-3984,-176,3989
-112,-4192,-176,4197
-64,-4192,-192,4197
-128,-4208,-528,4243
112,-4144,-224,4152
-112,-4192,-192,4198
112,-4192,-224,4199
80,-4224,-208,4230
64,-4208,-224,4214
48,-4176,-256,4184
48,-4128,-560,4166
64,-4160,-240,4167
96,-4160,-208,4166
96,-4224,-208,4230
-80,-4016,-208,4022
-96,-4224,-176,4229
-128,-4000,-208,4007
112,-3984,-144,3988
112,-4224,-224,4231
64,-4224,-192,4229
80,-4000,-240,4008
112,-4208,-224,4215
96,-4208,-224,4215
112,-4224,-240,4232
112,-4192,-256,4201
-128,-4208,-240,4217
-96,-4144,-256,4153
-96,-4144,-528,4179
-64,-4176,-240,4183
-96,-4176,-528,4210
-96,-4192,-240,4200
-96,-4176,-192,4182
-96,-4176,-240,4184
-64,-4176,-224,4182
-128,-4176,-224,4184
96,-4128,-240,4136
64,-4160,-224,4167
112,-4160,-208,4167
96,-4144,-224,4151
-64,-4144,-192,4149
-32,-4144,-176,4148
288,-4112,-160,4125
-16,-4112,-192,4117
-80,-4144,-384,4163
-80,-4224,-336,4238
-80,-4224,-288,4235
-16,-4208,-320,4220
-64,-4176,-288,4186
-32,-4192,-272,4201
-80,-4208,-272,4218
-80,-4144,-288,4155
-96,-4176,-288,4187
-96,-4160,-304,4172
-64,-4128,0,4128
-48,-4128,-320,4141
-32,-4128,0,4128
-48,-4176,32,4176
256,-4176,64,4184
-48,-4192,48,4193
-48,-4160,80,4161
256,-4144,96,4153
-32,-4192,80,4193
272,-4112,-128,4123
272,-4112,-112,4123
272,-3824,-96,3835
272,-4112,-96,4122
288,-4176,-48,4186
288,-4144,-96,4155
320,-4160,-32,4172
288,-4000,-16,4010
352,-4016,288,4042
128,-4208,-16,4210
192,-4160,-32,4165
512,-4144,-48,4176
224,-4160,272,4175
176,-4128,-64,4132
160,-4176,-64,4180
-80,-4144,-48,4145
-16,-4128,-64,4129
-32,-4208,-48,4208
-96,-4208,-96,4210
-128,-3824,-112,3828
-96,-3808,-80,3810
-96,-3808,-112,3811
288,-3824,-48,3835
176,-4176,-64,4180
224,-4192,-48,4198
176,-4208,-32,4212
208,-4176,-48,4181
224,-4208,-16,4214
208,-4192,-32,4197
528,-4192,256,4233
224,-4176,-64,4182
240,-4176,272,4192
144,-4160,288,4172
160,-4144,256,4155
352,-4144,304,4170
352,-4144,336,4172
320,-4144,304,4167
336,-4160,288,4183
320,-4128,320,4153
336,-4128,336,4155
304,-3808,160,3823
-16,-4128,144,4131
-48,-4128,176,4132
-32,-4160,208,4165
-48,-4144,144,4147
-32,-4160,176,4164
-32,-3840,192,3845
-80,-3808,176,3813
-48,-4128,224,4134
-80,-4112,352,4128
-96,-3840,352,3857
-96,-4128,320,4141
192,-3840,288,3856
544,-3840,336,3893
544,-3824,144,3865
176,-4176,336,4193
160,-3984,304,3999
192,-4192,320,4209
192,-4192,304,4207
192,-4192,-16,4196
208,-4192,-32,4197
176,-4160,-32,4164
208,-4160,-80,4166
160,-4192,-96,4196
192,-4176,-32,4181
160,-4192,-32,4195
144,-4176,-32,4179
336,-4176,256,4197
352,-4192,-32,4207
320,-4192,-16,4204
304,-4160,256,4179
352,-3840,-32,3856
256,-4128,288,4146
272,-4128,320,4149
-16,-4128,304,4139
272,-4144,288,4163
256,-4128,352,4151
128,-4176,160,4181
256,-4192,176,4203
304,-4208,160,4222
336,-4128,368,4158
192,-4112,128,4118
160,-4112,128,4117
352,-4128,176,4147
320,-4112,176,4128
-80,-4128,160,4132
-96,-3824,224,3832
-80,-4128,224,4135
-96,-4192,560,4230
-304,-4160,208,4176
-320,-3792,208,3811
-320,-3744,192,3763
-288,-3744,544,3794
32,-3840,592,3885
64,-3840,560,3881
64,-4112,608,4157
32,-4128,576,4168
48,-4144,608,4189
0,-4144,384,4162
0,-3824,576,3867
0,-4128,560,4166
-272,-3840,592,3895
-304,-4112,528,4157
-304,-3840,240,3859
-304,-3840,528,3888
-304,-3840,224,3859
-352,-4128,224,4149
-352,-4112,224,4133
-320,-4112,240,4131
-352,-3840,176,3860
-368,-4112,144,4131
-384,-4144,208,4167
-352,-4112,176,4131
-144,-4160,352,4177
-144,-4192,304,4205
-160,-4176,128,4181
-160,-4208,320,4223
-192,-4224,272,4237
-544,-4176,304,4222
-544,-4160,304,4206
-608,-4128,256,4180
-512,-4144,-64,4176
-496,-4144,-16,4174
-400,-4144,-48,4164
-224,-4112,-80,4119
-176,-3840,-48,3844
-192,-4192,-48,4197
-512,-4208,-16,4239
-512,-4208,-16,4239
-496,-4192,-48,4222
-832,-4192,-32,4274
-864,-4192,-48,4280
-864,-4144,-64,4234
-704,-4128,-80,4188
-736,-4144,-112,4210
-768,-3808,96,3886
-768,-3840,48,3916
-1056,-4128,48,4261
-1120,-4160,64,4309
-1088,-4112,64,4254
-1136,-3808,64,3974
-912,-3808,16,3916
-912,-3792,16,3900
-944,-3776,-272,3902
-912,-3760,-272,3879
-1152,-3728,-368,3919
-1136,-3760,-160,3931
-1072,-3744,-224,3901
-768,-3760,-528,3874
-672,-3776,-640,3888
-816,-3776,-448,3889
-816,-4176,-464,4280
-576,-4144,-816,4263
-208,-4176,-864,4270
-160,-4176,-656,4230
-368,-4176,-656,4243
-336,-4192,-656,4256
-304,-4224,-672,4288
64,-4192,-656,4244
32,-4208,-672,4261
64,-4144,-880,4237
80,-4144,-880,4237
48,-4128,-896,4224
-272,-4208,-864,4304
-288,-4176,-896,4281
64,-4176,-880,4268
16,-4192,-816,4271
32,-4016,-816,4098
96,-4000,-800,4080
96,-4000,-496,4032
-112,-4016,-784,4093
-48,-3984,-512,4017
-48,-4000,-800,4079
-80,-4224,-512,4256
112,-3984,-784,4062
0,-4208,-512,4239
0,-4160,-480,4188
112,-4208,-432,4232
-176,-4016,-512,4052
-848,-4224,-656,4358
-1040,-3776,-864,4011
-240,-3728,-656,3793
-368,-3824,-880,3941
16,-4192,-864,4280
80,-4016,-880,4112
96,-3984,-672,4041
112,-4224,-896,4319
96,-4224,-672,4278
-112,-4016,-720,4082
-128,-4384,-752,4450
-96,-4432,-752,4496
-80,-4432,-1056,4557
-48,-4480,-1088,4610
272,-4256,-1040,4390
272,-4240,-1104,4390
336,-4256,-1056,4398
144,-4272,-1104,4415
368,-4240,-1152,4409
368,-4432,-928,4543
336,-4416,-1360,4633
352,-4016,-1360,4255
288,-4080,-1328,4300
624,-4416,-1344,4658
192,-4432,-1408,4654
208,-4064,-1184,4238
800,-3984,-1360,4285
688,-4176,-1360,4445
864,-4208,-1392,4516
880,-4000,-1376,4321
656,-3984,-1312,4245
640,-4160,-1296,4404
832,-4128,-1024,4334
800,-3776,-1024,3993
464,-3728,-1296,3974
496,-3920,-960,4066
432,-3872,-1152,4063
608,-3856,-1072,4048
608,-3520,-1104,3739
592,-3488,-768,3620
208,-3696,-736,3774
160,-3696,-672,3760
144,-3632,-720,3705
320,-3600,-736,3688
272,-3296,-656,3372
-32,-3264,-688,3336
-64,-3296,-752,3381
-80,-3600,-704,3669
272,-3328,-704,3413
288,-3648,-704,3726
-48,-3680,-672,3741
-64,-3680,-688,3744
-48,-3648,-1040,3794
-32,-3696,-1136,3867
256,-3696,-928,3819
336,-3712,-960,3849
144,-3520,-928,3643
160,-3888,-912,3997
160,-3760,-1104,3922
176,-4160,-1056,4296
560,-4192,-704,4287
224,-4224,-720,4291
176,-4224,-672,4281
368,-4048,-848,4152
272,-4064,-656,4126
-48,-4048,-688,4106
112,-4096,-656,4150
112,-4064,-896,4163
-48,-4432,-816,4507
-112,-4288,-800,4363
-320,-4304,-880,4405
-144,-4432,-896,4524
-192,-4000,-672,4061
-160,-4000,-880,4099
-384,-4368,-800,4457
-320,-4432,-480,4469
-336,-4448,-416,4480
-160,-4464,-432,4488
-208,-4432,-608,4478
-240,-4448,-608,4496
-544,-4368,-544,4435
-592,-4096,-224,4145
-608,-4064,-208,4114
-624,-4016,-176,4068
-640,-4192,-160,4244
-400,-4160,-160,4182
-624,-4112,-160,4162
-400,-3792,-192,3818
-432,-3728,-208,3759
-448,-3952,-208,3983
-816,-3936,-192,4024
-832,-3936,-224,4029
-752,-3968,-176,4042
-656,-3936,-160,3993
-448,-3824,-144,3853
-576,-4112,-144,4155
-384,-4112,-384,4148
-384,-4112,-176,4134
-208,-3840,-176,3850
-560,-3840,-192,3885
-544,-3824,-160,3866
-608,-3792,-160,3844
-464,-3824,-192,3857
-640,-4144,-144,4196
-608,-4144,-160,4191
-640,-4160,-384,4226
-432,-4208,-176,4234
-560,-4224,-160,4264
-560,-4224,-160,4264
-528,-4224,-144,4259
-192,-3984,-144,3991
-208,-4016,-176,4025
-144,-4016,-176,4022
-144,-4208,-192,4215
-176,-4192,-224,4202
-528,-4192,-208,4230
-528,-4208,-224,4247
-560,-4224,-224,4267
-240,-4016,-208,4029
-224,-4032,-208,4044
-208,-4032,-224,4044
-192,-4032,-208,4042
-384,-4224,-256,4249
-384,-4224,-240,4248
-384,-4224,-208,4247
-368,-4224,-256,4248
-352,-4208,-256,4230
0,-4224,-208,4229
-288,-4000,-224,4017
-304,-4224,-192,4239
-304,-4192,-176,4207
64,-3984,-144,3987
32,-4208,-160,4211
-288,-3984,-368,4011
-352,-4224,-368,4255
-144,-4160,-368,4179
